,city,latitude,lon,temp,humidity,visibility,cloudiness,speed,lat
0,changji,,87.32,-2.2,84,900,40,2.24,44.02
1,bluff,,168.33,54.0,84,10000,100,4.0,-46.6
2,hermanus,,19.23,77.0,53,10000,16,5.01,-34.42
3,punta arenas,,-70.92,50.0,53,10000,40,32.21,-53.15
4,marzuq,,46.47,65.8,49,10000,0,9.44,14.4
5,constitucion,,-72.42,65.46,58,10000,3,5.19,-35.33
6,taoudenni,,-3.98,85.53,13,10000,0,8.88,22.68
7,mar del plata,,-57.56,83.35,35,10000,0,20.8,-38.0
8,albany,,-73.97,20.16,78,357,100,3.0,42.6
9,barrow,,-156.79,-9.4,76,10000,1,16.11,71.29
10,uzumlu,,-156.79,-9.4,76,10000,1,16.11,71.29
11,hithadhoo,,73.08,82.31,77,10000,3,12.1,-0.6
12,taolanaro,,73.08,82.31,77,10000,3,12.1,-0.6
13,khatanga,,102.5,-27.31,82,10000,1,7.94,71.97
14,ushuaia,,-68.3,42.8,81,10000,75,38.03,-54.8
15,burgersdorp,,26.33,86.38,15,10000,76,3.18,-31.0
16,nikolskoye,,30.79,32.92,86,10000,90,6.71,59.7
17,tsihombe,,30.79,32.92,86,10000,90,6.71,59.7
18,georgetown,,100.34,78.4,88,8000,40,3.56,5.41
19,chokurdakh,,147.92,0.55,93,749,100,13.2,70.63
20,rio grande,,-52.1,80.8,74,10000,75,9.17,-32.03
21,kamaishi,,141.88,31.57,85,10000,53,10.25,39.27
22,acapulco,,-99.89,73.4,78,10000,5,6.93,16.86
23,jamestown,,-79.24,23.5,92,10000,90,4.7,42.1
24,airai,,125.41,61.97,100,10000,100,2.15,-8.93
25,atuona,,-139.03,78.3,75,10000,5,18.81,-9.8
26,puerto maldonado,,-69.18,80.6,78,10000,75,4.7,-12.6
27,severo-kurilsk,,156.12,30.51,90,10000,98,7.38,50.68
28,arraial do cabo,,-42.03,80.6,78,10000,75,3.36,-22.97
29,tessalit,,1.01,88.81,13,10000,4,12.21,20.2
30,butaritari,,172.79,81.61,80,5755,100,13.76,3.07
31,bur gabo,,172.79,81.61,80,5755,100,13.76,3.07
32,hobart,,147.33,56.75,93,4900,90,6.93,-42.88
33,ust-kuyga,,135.6,-32.03,82,1830,100,2.93,70.02
34,paka,,103.44,77.0,94,6417,100,2.24,4.64
35,ciales,,-66.47,82.0,79,10000,0,1.01,18.34
36,san cristobal,,-72.22,78.8,88,10000,40,4.7,7.77
37,hasaki,,140.83,29.23,73,10000,20,3.36,35.73
38,kedrovyy,,91.82,23.0,62,10000,100,13.42,56.17
39,faanui,,-151.75,79.86,76,10000,85,17.4,-16.48
40,port alfred,,26.89,73.99,80,10000,97,1.99,-33.59
41,dukat,,155.55,-33.02,82,3072,100,4.63,62.55
42,shaunavon,,-108.42,26.6,73,7022,100,8.05,49.65
43,new norfolk,,147.06,55.72,91,473,100,1.32,-42.78
44,punta alta,,-62.07,87.19,17,10000,75,8.21,-38.88
45,perry hall,,-76.46,29.28,86,10000,1,12.75,39.41
46,naze,,129.48,57.2,58,10000,75,12.75,28.37
47,namibe,,12.15,77.0,69,10000,75,19.46,-15.2
48,manado,,124.85,75.2,94,8000,40,2.24,1.49
49,bose,,8.01,48.0,68,10000,42,1.25,45.46
50,general roca,,-67.58,77.0,29,10000,0,11.41,-39.03
51,vaini,,-175.2,75.2,83,10000,75,8.05,-21.2
52,lavrentiya,,-171.0,7.56,93,400,100,24.47,65.58
53,krasnoselkup,,82.47,10.94,95,144,100,20.62,65.7
54,cabedelo,,-34.83,87.8,62,10000,75,12.75,-6.98
55,hoi an,,108.33,71.6,83,6000,75,5.82,15.88
56,ribeira grande,,-28.7,66.2,88,8000,75,24.16,38.52
57,mitsamiouli,,43.28,83.73,67,10000,4,9.53,-11.38
58,vallenar,,-70.76,81.63,34,10000,0,9.28,-28.57
59,bathsheba,,-59.52,86.0,66,10000,40,21.92,13.22
60,micheweni,,39.83,81.43,78,10000,22,13.31,-4.97
61,adrar,,-10.07,81.48,17,10000,0,12.5,20.5
62,sitka,,-135.33,37.4,86,10000,90,9.17,57.05
63,busselton,,115.33,58.64,75,10000,0,1.01,-33.65
64,harper,,-7.72,83.82,69,10000,45,9.44,4.38
65,sao filipe,,-24.5,75.51,65,10000,99,10.63,14.9
66,biak,,122.88,78.91,78,10000,100,3.85,-0.91
67,tual,,132.75,84.72,76,10000,100,19.3,-5.67
68,tasiilaq,,-37.64,21.2,53,10000,40,11.41,65.61
69,chagda,,-37.64,21.2,53,10000,40,11.41,65.61
70,bafra,,35.91,50.0,76,10000,75,5.82,41.57
71,lolua,,35.91,50.0,76,10000,75,5.82,41.57
72,axim,,-2.24,83.08,75,10000,66,10.42,4.87
73,mataura,,168.86,54.0,84,10000,100,4.0,-46.19
74,nador,,-2.93,59.99,77,10000,40,5.82,35.17
75,formosa do rio preto,,-45.19,94.48,35,10000,35,4.43,-11.05
76,saint george,,-113.58,30.2,58,10000,1,4.7,37.1
77,alotau,,-113.58,30.2,58,10000,1,4.7,37.1
78,half moon bay,,-122.43,51.17,93,4828,75,9.17,37.46
79,vanimo,,141.3,80.11,81,10000,96,2.98,-2.67
80,roma,,-75.46,19.87,73,2816,90,5.82,43.21
81,qaanaaq,,-69.36,3.43,73,10000,0,5.14,77.48
82,manaus,,-60.02,81.48,83,10000,75,3.36,-3.1
83,fort nelson,,-122.7,-16.6,68,10000,90,11.41,58.81
84,imeni poliny osipenko,,136.49,-12.77,89,10000,46,2.75,52.42
85,klaksvik,,-6.59,46.4,100,10000,93,13.87,62.23
86,hofn,,-15.21,42.8,70,10000,75,17.22,64.25
87,bredasdorp,,20.04,73.4,60,10000,52,10.29,-34.53
88,rawson,,-65.1,75.72,27,10000,0,18.48,-43.3
89,saint-philippe,,55.77,72.41,74,10000,0,18.34,-21.36
90,east london,,27.91,69.8,88,10000,75,12.75,-33.02
91,souillac,,57.52,80.6,78,10000,75,14.99,-20.52
92,ketchikan,,-131.65,35.6,93,10000,40,3.36,55.34
93,saint-ambroise,,-71.33,-17.37,83,10000,0,2.24,48.55
